DB,Source_file,Ref_video,Resolution,Color_encoding,Aggregate_vmaf,Subject_score,PSNR,SSIM,MS_SSIM,frame,blockiness,spatialactivity,letterbox,pillarbox,blockloss,blur,temporalact,blockout,freezing,exposure,contrast,brightness,interlace,noise,slice,flickering,fps,two_res,one_res,duration
DB1,src11_hrc05,src11_hrc00_,640x480,yuv422p,90.49270786,4.333333333,40.77434,0.989553,0.995024,480,1.052235625,37.92160865,0,0,0,0,35.643312,0,0,114.1875,30.73428179,0.623278229,24.91670833,16.81691458,-0.859635417,#DIV/0!,30,0,1,16
DB1,src11_hrc15,src11_hrc00_,640x480,yuv422p,62.3651757,1.851851852,33.525817,0.95146,0.972089,480,1.058959583,35.5078391,0,0,0,0,34.73227256,0,0,114.54375,30.32642994,0.636394083,24.62902083,19.87009583,-0.859635417,#DIV/0!,30,0,1,16
DB1,src11_hrc23,src11_hrc00_,640x480,yuv422p,62.97515212,1.888888889,33.629037,0.952175,0.97267,480,1.058553958,34.84047765,0,0,0,0,34.75628081,0,0,114.4604167,30.32641756,0.608205021,24.48358333,23.52461458,-0.859635417,#DIV/0!,30,0,1,16
DB1,src11_hrc06,src11_hrc00_,640x480,yuv422p,81.66269787,3.296296296,37.087998,0.976652,0.988146,480,1.053900083,36.72074402,0,0,0,0,35.41552338,0,0,114.2458333,30.59830404,0.62058625,24.92022917,20.42314167,-0.859635417,#DIV/0!,30,0,1,16
DB1,src11_hrc21,src11_hrc00_,640x480,yuv422p,91.3619079,4.296296296,40.963207,0.990012,0.995117,480,1.053464271,38.19682079,0,0,0,0,35.70894604,0,0,114.1645833,30.77268283,0.663256188,24.960375,17.5196,-0.859635417,#DIV/0!,30,0,1,16
DB1,src11_hrc10,src11_hrc00_,640x480,yuv422p,80.79605932,3.444444444,37.160864,0.977256,0.988361,480,1.054344063,36.87828585,0,0,0,0,35.34731685,0,0,114.2729167,30.58192071,0.627556438,24.95616667,21.20251458,-0.859635417,#DIV/0!,30,0,1,16
DB1,src11_hrc19,src11_hrc00_,640x480,yuv422p,31.93041266,1.222222222,29.534625,0.890748,0.929865,480,1.056927208,29.83187523,0,0,0,0,33.75388281,0,0,114.2479167,29.78674938,0.623811292,23.69152083,29.98158958,-0.859635417,#DIV/0!,30,0,1,16
DB1,src11_hrc08,src11_hrc00_,640x480,yuv422p,57.21194662,2.148148148,32.20238,0.931262,0.96367,480,1.0564695,31.98761685,0,0,0,0,34.60360481,0,0,114.2708333,30.18335771,0.632104208,24.24633333,29.83260833,-0.859635417,#DIV/0!,30,0,1,16
DB1,src11_hrc02,src11_hrc00_,640x480,yuv422p,83.83662843,3.444444444,37.257661,0.976838,0.98875,480,1.053516313,36.55171969,0,0,0,0,35.509732,0,0,114.1583333,30.66637688,0.645413458,24.75929167,22.44877917,-0.859635417,#DIV/0!,30,0,1,16
DB1,src11_hrc18,src11_hrc00_,640x480,yuv422p,47.12828274,2.037037037,31.009244,0.917778,0.954114,480,1.0567715,31.00807927,0,0,0,0,34.56334804,0,0,114.3375,30.13481433,0.632098063,24.63366667,26.84859375,-0.859635417,#DIV/0!,30,0,1,16
DB1,src11_hrc28,src11_hrc00_,640x480,yuv422p,43.86622461,1.148148148,31.507058,0.898604,0.921326,480,1.066326104,32.18953033,0,0,0,0.0375,33.48484733,0,0,114.0854167,29.65357813,0.643204375,24.1470625,22.88204375,-0.859635417,#DIV/0!,30,0,1,16
DB1,src11_hrc16,src11_hrc00_,640x480,yuv422p,36.31982577,1,30.0151,0.904648,0.93441,480,1.066281271,33.01503433,0,0,0,0.072916667,33.61260719,0,0,114.29375,29.68813098,0.636998208,23.87010417,22.44805,-0.859635417,#DIV/0!,30,0,1,16
DB1,src11_hrc20,src11_hrc00_,640x480,yuv422p,18.33702971,1.037037037,27.505384,0.852423,0.881335,480,1.069643938,29.02019835,0,0,0,0.072916667,32.32696344,0,0,113.9208333,29.04946731,0.644798417,23.47070833,21.76048542,-0.859635417,#DIV/0!,30,0,1,16
DB1,src11_hrc04,src11_hrc00_,640x480,yuv422p,68.01337853,2.444444444,33.366735,0.945478,0.974462,480,1.055281896,32.31720583,0,0,0,0,34.87515708,0,0,114.1854167,30.32911777,0.660922792,24.57172917,24.12992708,-0.859635417,#DIV/0!,30,0,1,16
DB1,src11_hrc01,src11_hrc00_,640x480,yuv422p,90.84135884,4.259259259,40.686834,0.989243,0.994874,480,1.053138667,37.8659475,0,0,0,0,35.68278992,0,0,114.1458333,30.75596669,0.638406938,24.88866667,16.10432292,-0.859635417,#DIV/0!,30,0,1,16
DB1,src11_hrc14,src11_hrc00_,640x480,yuv422p,80.96999739,3.555555556,37.204955,0.977424,0.988448,480,1.054942688,36.99211738,0,0,0,0.035416667,35.35080208,0,0,114.3,30.58792281,0.629895938,24.63547917,20.59592083,-0.859635417,#DIV/0!,30,0,1,16
DB1,src11_hrc22,src11_hrc00_,640x480,yuv422p,82.04356691,3.592592593,37.369027,0.978234,0.988873,480,1.054159563,36.93397375,0,0,0,0,35.39777308,0,0,114.175,30.58456669,0.60935925,24.90397917,24.18140833,-0.859635417,#DIV/0!,30,0,1,16
DB1,src13_hrc12,src13_hrc00_,640x480,yuv422p,30.62168991,1.148148148,28.071229,0.851244,0.917143,480,1.090093708,32.13754398,0,0,0,0.002083333,22.35414317,0,0,111.0895833,25.55016138,0.591113167,23.3495,3.679275,-0.859635417,#DIV/0!,30,0,1,16
DB1,src13_hrc01,src13_hrc00_,640x480,yuv422p,85.08178904,4.481481481,38.852796,0.985843,0.993499,480,1.086860979,44.62101052,0,0,0,0,25.90943456,0,0,111.49375,27.10362381,0.504531958,24.25310417,2.30690625,-0.859635417,#DIV/0!,30,0,1,16
DB1,src13_hrc23,src13_hrc00_,640x480,yuv422p,53.43740787,2.481481481,31.303591,0.925667,0.962549,480,1.089136458,38.02465394,0,0,0,0,24.03641217,0,0,111.48125,26.20619121,0.562812021,23.86572917,4.552825,-0.859635417,#DIV/0!,30,0,1,16
DB1,src13_hrc08,src13_hrc00_,640x480,yuv422p,43.85143117,1.62962963,29.06598,0.876058,0.941092,480,1.094301083,31.92874844,0,0,0,0.004166667,23.05171179,0,0,110.81875,25.8637499,0.595563063,23.31491667,3.230133333,-0.859635417,#DIV/0!,30,0,1,16
DB1,src13_hrc18,src13_hrc00_,640x480,yuv422p,31.57636123,1.703703704,27.771692,0.841991,0.92141,480,1.096824313,27.58717831,0,0,0,0,22.44911998,0,0,110.7604167,25.47521046,0.601881813,22.19841667,3.005960417,-0.859635417,#DIV/0!,30,0,1,16
DB1,src13_hrc11,src13_hrc00_,640x480,yuv422p,52.37588704,2.259259259,31.125747,0.92243,0.960181,480,1.086948375,38.14564096,0,0,0,0.002083333,24.14369046,0,0,111.3041667,26.26080433,0.560890104,23.8115625,3.0753125,-0.859635417,#DIV/0!,30,0,1,16
DB1,src13_hrc09,src13_hrc00_,640x480,yuv422p,84.53879597,4.481481481,38.904677,0.986126,0.993583,480,1.086729688,44.64718646,0,0,0,0.002083333,25.87205942,0,0,111.4958333,27.08973077,0.502225708,24.25897917,2.2957625,-0.859635417,#DIV/0!,30,0,1,16
DB1,src13_hrc07,src13_hrc00_,640x480,yuv422p,57.31041971,2.185185185,31.201142,0.923169,0.96303,265,1.091697736,38.22949642,0,0,0,0.003773585,24.21554675,0,0,111.3698113,26.4179866,0.576438453,23.75750943,3.208679245,-0.856132075,#DIV/0!,30,0,1,8.833333333
DB1,src13_hrc05,src13_hrc00_,640x480,yuv422p,84.65729239,4.259259259,38.876571,0.98599,0.993525,480,1.086526875,44.62086715,0,0,0,0.002083333,25.87614206,0,0,111.4875,27.08247792,0.512738125,24.30635417,2.2759,-0.859635417,#DIV/0!,30,0,1,16
DB1,src13_hrc02,src13_hrc00_,640x480,yuv422p,75.51372613,3.518518519,35.012082,0.966659,0.984799,480,1.088478813,42.23687133,0,0,0,0,25.46407058,0,0,111.3020833,26.88027881,0.513555667,24.14335417,2.552529167,-0.859635417,#DIV/0!,30,0,1,16
DB1,src13_hrc10,src13_hrc00_,640x480,yuv422p,72.7053849,3.592592593,35.012363,0.967159,0.984482,480,1.0873855,42.16749848,0,0,0,0.002083333,25.24218902,0,0,111.5020833,26.74385179,0.538303771,24.09016667,2.5738625,-0.859635417,#DIV/0!,30,0,1,16
DB1,src13_hrc22,src13_hrc00_,640x480,yuv422p,74.86537658,3.666666667,35.319599,0.970015,0.985788,480,1.088371083,42.84794498,0,0,0,0.002083333,25.45017854,0,0,111.2833333,26.783398,0.517551229,24.13295833,3.722672917,-0.859635417,#DIV/0!,30,0,1,16
DB1,src13_hrc16,src13_hrc00_,640x480,yuv422p,25.37042364,1.111111111,27.759081,0.845483,0.907571,480,1.096677313,32.41133663,0,0,0,0.004166667,21.52614892,0,0,111.3333333,25.02964223,0.585286271,23.0105625,3.156375,-0.859635417,#DIV/0!,30,0,1,16
DB1,src13_hrc24,src13_hrc00_,640x480,yuv422p,25.25248388,1.074074074,27.850589,0.846019,0.909756,480,1.101971042,31.45191917,0,0,0,0,21.23002317,0,0,111.5166667,24.99096523,0.608413729,23.2330625,4.28558125,-0.859635417,#DIV/0!,30,0,1,16
DB1,src13_hrc17,src13_hrc00_,640x480,yuv422p,40.42330825,2.074074074,28.380179,0.864237,0.937423,480,1.095543438,29.45972875,0,0,0,0,23.22168025,0,0,110.9541667,25.82494085,0.556643125,22.3105,2.448610417,-0.859635417,#DIV/0!,30,0,1,16
DB1,src13_hrc04,src13_hrc00_,640x480,yuv422p,53.78319508,1.888888889,29.779338,0.893129,0.954657,480,1.094161438,32.1156134,0,0,0,0,23.37328102,0,0,111.1416667,25.99869713,0.558868688,23.13754167,2.608972917,-0.859635417,#DIV/0!,30,0,1,16
DB1,src13_hrc19,src13_hrc00_,640x480,yuv422p,17.82610548,1.148148148,26.665364,0.800199,0.884685,480,1.094971958,24.48755254,0,0,0,0,20.73805077,0,0,110.9729167,24.821298,0.602399229,21.98639583,3.78069375,-0.859635417,#DIV/0!,30,0,1,16
DB1,src13_hrc14,src13_hrc00_,640x480,yuv422p,72.88009128,3.703703704,35.049663,0.96745,0.984616,480,1.087191125,42.21352517,0,0,0,0.004166667,25.23924479,0,0,111.4458333,26.77038108,0.527099979,24.17416667,2.429022917,-0.859635417,#DIV/0!,30,0,1,16
